,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
70,241501,0,273,ts,13.1622197802,,0.082,,0.6760879121,12.905648708,12.8302452297,13.3687133891,12.3671805487,13.32220733570181,12.413686602076105,0.3993805029,,0.0086761743,,0.1691265086,0.9635154189,0.9156913042,0.4089439945,1.0492502864
2,241501,0,273,exp3,13.165040293,,0.044,,0.5222930403,13.145609366,13.1486541335,13.3777711527,12.9164923468,13.21811726566377,13.076926453596368,0.2782460564,,0.0064856765,,0.088807339,0.4160443333,0.3996140362,0.3193462889,0.352729046
24,241501,0,273,exp31,13.1487545788,,0.052,,0.5082344322,13.1548270856,13.1308447857,13.3583126132,12.9273592581,13.201317035564509,13.085475714881914,0.2700650874,,0.007021111,,0.0455431567,0.3737902118,0.3979733369,0.3096935749,0.3310875522
71,241501,0,273,exp3++,13.149956044,,0.053,,0.5153040293,13.1319491532,13.1357452128,13.4570080752,12.8106862908,13.26108165833954,13.00661270769742,0.3765840371,,0.0070845607,,0.0435528387,0.5619050341,0.5434941095,0.4196985965,0.4755181206
47,241622,0,627,uniform,13.1759505582,,0.037,,0.4994226475,13.1713537749,13.1806626959,13.4364217227,12.9155947481,13.177537280497063,13.174479190280834,0.3207628602,,0.0059691708,,0.0196639112,0.4584084951,0.4565351417,0.3691964432,0.3829747114
72,241622,0,627,ts,13.1608532695,,0.097,,0.6899952153,12.8110701029,12.8357239861,13.3321566642,12.3146374248,13.283003623844012,12.36379046519978,0.3340561746,,0.0093590064,,0.1854291792,0.9619939187,1.0793331603,0.3510054023,1.2040842096
3,241622,0,627,exp3,13.1744952153,,0.066,,0.5481810207,13.1392909559,13.1399913353,13.3536520129,12.9256302784,13.256511606998487,13.02288073211114,0.241444101,,0.0078513693,,0.1153786672,0.3689602197,0.3720431465,0.2775418062,0.3254492818
25,241622,0,627,exp31,13.173699362,,0.048,,0.5121355662,13.1605370617,13.1723907646,13.356689968,12.9762378583,13.229544841693475,13.103225089881553,0.2393115243,,0.0067598817,,0.0424575249,0.3360234554,0.3428146184,0.2749383981,0.2872992406
73,241622,0,627,exp3++,13.1804816587,,0.048,,0.5230063796,13.1843093877,13.1378677849,13.4385733251,12.8836038475,13.298145847543498,13.024031324966566,0.3568353267,,0.0067598817,,0.0542828156,0.4967098482,0.4968930488,0.4110654736,0.4144048773
48,243393,0,1797,uniform,17.6262381747,,0.041,,0.5007134112,17.6263433642,17.6254182703,17.8477475184,17.4040141161,17.637260471609157,17.61450116287273,0.2783658184,,0.0062704864,,0.011964003,0.3995983531,0.3829745613,0.3159593698,0.3287381888
74,243393,0,1797,ts,17.624819143,,0.108,,0.7071780746,17.20470934,17.3008688326,17.7609960483,16.7445821244,17.72207709826164,16.783501074368672,0.2724837279,,0.0098150904,,0.1979932066,1.2363319457,1.1224985669,0.286178512,1.4814507294
4,243393,0,1797,exp3,17.6222952142,,0.059,,0.5831471898,17.5696722455,17.5706368524,17.750895224,17.3894138738,17.67129024010506,17.4690188577837,0.191378998,,0.0074511073,,0.1799204127,0.3345205757,0.3265004581,0.2254008014,0.3199486293
26,243393,0,1797,exp31,17.6185731775,,0.044,,0.5133781302,17.6054095031,17.6197313703,17.7619571805,17.4631836928,17.666071358606807,17.560329392314436,0.186955175,,0.0064856765,,0.042723361,0.2666271866,0.2664383456,0.2141412003,0.2273604065
75,243393,0,1797,exp3++,17.6125937674,,0.051,,0.5298124652,17.5873871933,17.5943400258,17.8130528286,17.3686743905,17.732535772836446,17.449191446236224,0.2676294769,,0.006956939,,0.0520961497,0.3892592939,0.3906764538,0.3041730875,0.3360322828
49,246482,0,457,uniform,18.6991947484,,0.043,,0.5008621444,18.7066372876,18.6900617932,19.1111862895,18.2855127913,18.720721333816766,18.67597774697253,0.5355223332,,0.0064149045,,0.0231228774,0.7441817979,0.7505430124,0.6055001201,0.6401249699
76,246482,0,457,ts,18.7240196937,,0.096,,0.6982800875,18.1598871537,18.1519538076,19.0075020399,17.3043389214,18.934388730996712,17.377452230291798,0.515941168,,0.009315793,,0.1853024153,1.7231575439,1.6228115086,0.5186513504,1.9706443249
5,246482,0,457,exp3,18.7020317287,,0.056,,0.5512943107,18.6691396998,18.6204317304,18.9848307334,18.3047406968,18.803227488515063,18.48673562662679,0.3686580641,,0.0072707634,,0.1371481681,0.5603516833,0.6063459123,0.4196505805,0.5248502346
27,246482,0,457,exp31,18.7232253829,,0.042,,0.5114059081,18.7309083407,18.6930516348,19.0100757186,18.4138842569,18.814938768646716,18.608771753958603,0.3859749123,,0.0063431853,,0.0483157027,0.5309381395,0.5450918962,0.4296757365,0.4662549521
77,246482,0,457,exp3++,18.7220262582,,0.041,,0.5261838074,18.6899091697,18.6827592794,19.10202659,18.2706418591,18.96254655827953,18.41012189080855,0.5305696676,,0.0062704864,,0.0430050686,0.7287314284,0.7620542635,0.5759826957,0.6591247262
50,246627,0,514,uniform,17.8700914397,,0.057,,0.4992159533,17.8903482746,17.8525030423,18.2901807348,17.4526705822,17.846709536065383,17.898962792595775,0.5152362788,,0.0073315073,,0.0224527941,0.7221820973,0.740354035,0.5861179276,0.6133036415
